# 2011 Playoffs
# Date,,Visitor/Neutral,PTS,Home/Neutral,PTS,,Notes
Sat Apr 16 2011,Box Score,Indiana Pacers,99,Chicago Bulls,104,,
Sat Apr 16 2011,Box Score,Portland Trail Blazers,81,Dallas Mavericks,89,,
Sat Apr 16 2011,Box Score,Philadelphia 76ers,89,Miami Heat,97,,
Sat Apr 16 2011,Box Score,Atlanta Hawks,103,Orlando Magic,93,,
Sun Apr 17 2011,Box Score,New York Knicks,85,Boston Celtics,87,,
Sun Apr 17 2011,Box Score,New Orleans Hornets,109,Los Angeles Lakers,100,,
Sun Apr 17 2011,Box Score,Denver Nuggets,103,Oklahoma City Thunder,107,,
Sun Apr 17 2011,Box Score,Memphis Grizzlies,101,San Antonio Spurs,98,,
Mon Apr 18 2011,Box Score,Indiana Pacers,90,Chicago Bulls,96,,
Mon Apr 18 2011,Box Score,Philadelphia 76ers,73,Miami Heat,94,,
Tue Apr 19 2011,Box Score,New York Knicks,93,Boston Celtics,96,,
Tue Apr 19 2011,Box Score,Portland Trail Blazers,89,Dallas Mavericks,101,,
Tue Apr 19 2011,Box Score,Atlanta Hawks,82,Orlando Magic,88,,
Wed Apr 20 2011,Box Score,New Orleans Hornets,78,Los Angeles Lakers,87,,
Wed Apr 20 2011,Box Score,Denver Nuggets,89,Oklahoma City Thunder,106,,
Wed Apr 20 2011,Box Score,Memphis Grizzlies,87,San Antonio Spurs,93,,
Thu Apr 21 2011,Box Score,Chicago Bulls,88,Indiana Pacers,84,,
Thu Apr 21 2011,Box Score,Miami Heat,100,Philadelphia 76ers,94,,
Thu Apr 21 2011,Box Score,Dallas Mavericks,92,Portland Trail Blazers,97,,
Fri Apr 22 2011,Box Score,Orlando Magic,84,Atlanta Hawks,88,,
Fri Apr 22 2011,Box Score,Los Angeles Lakers,100,New Orleans Hornets,86,,
Fri Apr 22 2011,Box Score,Boston Celtics,113,New York Knicks,96,,
Sat Apr 23 2011,Box Score,Oklahoma City Thunder,97,Denver Nuggets,94,,
Sat Apr 23 2011,Box Score,Chicago Bulls,84,Indiana Pacers,89,,
Sat Apr 23 2011,Box Score,San Antonio Spurs,88,Memphis Grizzlies,91,,
Sat Apr 23 2011,Box Score,Dallas Mavericks,82,Portland Trail Blazers,84,,
Sun Apr 24 2011,Box Score,Orlando Magic,85,Atlanta Hawks,88,,
Sun Apr 24 2011,Box Score,Los Angeles Lakers,88,New Orleans Hornets,93,,
Sun Apr 24 2011,Box Score,Boston Celtics,101,New York Knicks,89,,
Sun Apr 24 2011,Box Score,Miami Heat,82,Philadelphia 76ers,86,,
Mon Apr 25 2011,Box Score,Portland Trail Blazers,82,Dallas Mavericks,93,,
